Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Wheeler,2015,179.4117081,77.03627569,101.3582527,351.3467857,256.2510017,441.5677379
Yamhill,2015,19764.26502,7238.668311,15233.80203,33300.05547,13533.91768,15454.04924
Baker,2020,2715.700993,883.9553048,1268.400744,4232.319648,2552.721346,4877.098209
Benton,2020,13189,9824,22892,28253,11476,18271.77576
Clackamas,2020,72576.44443,28056.42575,42055.84881,138752.847,60275.25936,80039.60513
Clatsop,2020,6247.634643,2251.809057,3949.528133,11615.28947,5750.838029,8872.342022
Columbia,2020,9103.488139,3123.706567,5243.300101,17449.40348,7581.169245,10710.95921
Coos,2020,9307.207681,3252.545741,5482.988514,18433.01144,10055.0217,17101.05682
Crook,2020,3374.521543,1371.96627,1517.332124,5950.755919,3714.741456,5748.486983
Curry,2020,2674.222692,924.9527747,1640.278563,5782.332392,4597.250095,8196.548432
Deschutes,2020,33767.48013,12098.42438,19812.00512,60117.18452,25067.19517,39871.54606
Douglas,2020,17439.33894,6586.350158,11591.88115,32061.22179,18513.73125,29016.33196
Gilliam,2020,330.9451287,90.16201237,107.4765128,482.5611311,389.5013566,645.0923281
Grant,2020,1025.04757,316.772181,444.7627635,1640.493339,1191.695822,2766.587071
Harney,2020,1290.788905,450.0132891,591.0408701,1824.787693,1120.931843,1967.920197
Hood River,2020,4903.464784,1827.042352,2885.116175,8341.852294,3708.289121,4144.552088
Jackson,2020,36448,12544,25420,65889,32761,53776.23349
Jefferson,2020,4366.655147,1460.087387,2511.869194,7006.491089,3573.995614,5241.529973
Josephine,2020,12694,4557,7775,22020,13485,23370.56834
Klamath,2020,11395.2872,3685.845422,8067.030237,19644.7493,10221.9234,15746.84717
Lake,2020,1157.00515,397.8060848,576.4953049,2442.290529,1328.722113,2364.182548
Lane,2020,56266.29229,25663.84773,58078.29539,107204.926,50715.06806,79869.46484
Lincoln,2020,6522.975573,2364.654293,4098.144378,13480.89636,8001.127904,14570.03698
Linn,2020,22355,7183,13376,35743,14786,22923.26716
Malheur,2020,6536.877194,2135.631641,4116.116873,9407.824984,3639.458832,5862.839899
Marion,2020,74427,24510,46545,108411,40346,59331.89862
Morrow,2020,2611.891744,903.5599843,1434.785167,3371.569848,1640.366096,2241.016779
Multnomah,2020,136340.6672,47971.30961,132598.7892,308858.1232,102935.0516,126858.0409
Polk,2020,16873.62382,6411.909892,11187.36298,25254.13595,9657.307268,15628.02847
Sherman,2020,317.2300987,90.50603075,103.7308582,475.7013269,306.0699712,522.6048181
Tillamook,2020,4215.047967,1494.738673,2155.339525,7419.148645,4110.021622,7257.313591
Umatilla,2020,17967.28258,6037.553909,10997.33999,25616.56385,10066.55845,13621.08932
Union,2020,5080.933958,1924.537722,3610.167483,7109.700372,3611.458339,6438.476724
Wallowa,2020,1096.348336,347.0006145,359.7341661,1723.82644,1155.381426,2412.209781
Wasco,2020,5262.226257,1735.264622,2970.551023,7859.877598,3736.571192,5932.030281
Washington,2020,121040.7034,39153.07718,78634.4851,218962.968,66376.59688,84266.94863
Wheeler,2020,201.3143111,58.96173592,89.46120763,336.5852092,242.4602762,509.1662909
Yamhill,2020,21156.30441,7983.494259,13888.84232,34325.98612,13346.34196,20400.0555
Baker,2025,2679.645156,931.1745941,1211.551685,4146.663234,2159.168044,5467.56303
Benton,2025,13717,9774,23750,30767,10871,21650.3
Clackamas,2025,73825.35214,27906.75206,43349.72169,144160.3639,61430.38356,93943.41623
Clatsop,2025,6316.960243,2213.312511,3875.412386,11714.20578,5282.787617,10093.31048
Columbia,2025,9523.766417,2989.512177,5235.181943,18536.71779,7264.587381,12497.74281
Coos,2025,9317.557816,3473.997952,5407.728173,17279.85523,8657.581279,20152.15966
Crook,2025,3218.600531,1394.722572,1680.08072,5884.279885,3491.820209,6734.736905
Curry,2025,2714.086575,889.9160987,1600.140318,6209.963783,4310.735284,9521.804047
Deschutes,2025,36100.44978,14279.91207,22551.9138,64417.5781,25445.20307,48031.36098
Douglas,2025,17835.46008,6521.439779,11852.49907,34547.93298,17277.88059,33373.25869
Gilliam,2025,345.3094401,104.8212935,101.0334815,447.6152963,322.2026288,767.7727462
Grant,2025,955.187236,336.0186908,390.6444461,1523.368052,946.2220849,3164.847524
Harney,2025,1278.197758,448.6721438,553.4128934,1763.86313,883.0956645,2243.867937
Hood River,2025,5042.630832,1780.522403,3091.653413,8563.81496,3778.313531,5184.812427
Jackson,2025,35920,13080,24914,69811,31174,64202.31687
Jefferson,2025,4510.415895,1430.134047,2487.204929,7110.131963,3820.505675,6310.152169
Josephine,2025,12675,4812,7850,23254,12474,26794.63831
Klamath,2025,11170.96685,3808.070535,7392.866616,20579.71901,9714.053477,17729.87492
Lake,2025,1126.517687,399.9713794,535.4538415,2400.589816,1227.116661,2741.106994
Lane,2025,57125.94069,26215.4383,58894.49119,110720.6507,47292.7693,95641.04051
Lincoln,2025,6706.774733,2272.019533,4389.866043,13789.2948,7143.612461,16330.57893
Linn,2025,23440,7230,13542,37488,14336,26077.85427
Malheur,2025,6385.649346,2214.743413,3953.80236,9373.385492,3425.432194,6469.831141
Marion,2025,77385,25481,47934,113286,40514,69163.19232
Morrow,2025,2738.159835,876.5456191,1432.631109,3477.800664,1450.340916,2731.505039
Multnomah,2025,142954.6353,49110.35421,139061.3586,326290.5683,107219.2368,153760.4847
Polk,2025,18232.78947,6698.786364,11836.53219,27613.59657,9762.958485,17616.6638
Sherman,2025,301.7241817,108.0598154,103.3683793,471.73512,229.6038462,621.9006167
Tillamook,2025,4285.46417,1477.172628,2219.381505,7629.231408,3841.206377,8066.109285
Umatilla,2025,18278.49284,6386.171252,11295.34299,26678.94511,9630.528168,15548.15773
Union,2025,4981.558539,2039.517906,3589.155097,7303.803879,3165.818088,7385.346642
Wallowa,2025,982.2691999,389.9971419,384.9460134,1662.967579,921.9436392,2763.681004
Wasco,2025,5328.462033,1919.732372,3028.712453,8248.683578,3339.455401,6787.907868
Washington,2025,126704.9438,40020.29471,82976.1047,231667.8808,68313.50048,100012.224
Wheeler,2025,206.2282262,72.99923721,74.2780289,328.0955514,200.2710957,531.9988624
Yamhill,2025,22091.89481,8319.984,14462.7354,36556.65519,13619.7265,24288.29524
Baker,2030,2615.82096,983.5918867,1247.597388,4150.784365,1859.638237,5752.153469
Benton,2030,14534,9650,23893,33260,10906,23869.70701
Clackamas,2030,75074.25984,27757.07838,44643.59458,149567.8809,62585.50776,107847.2273
Clatsop,2030,6195.389867,2412.972359,3841.395275,11883.29889,5100.348817,10645.31734
Columbia,2030,9817.825376,3148.040436,5246.029378,19583.96425,7042.064698,13741.7449
Coos,2030,9115.280963,3408.206662,5581.044541,17476.94324,7389.342993,21549.7151
Crook,2030,3116.677984,1240.102337,1799.650971,6000.413605,3444.500727,7620.542685
Curry,2030,2704.136319,926.0074408,1509.322805,6623.3535,3897.506941,10334.05481
Deschutes,2030,37624.08964,15336.38545,25593.77523,70205.25809,27033.50406,54618.64128
Douglas,2030,18266.82476,6630.053204,11850.3564,37239.77319,17031.24634,36599.43998
Gilliam,2030,347.9426328,121.2564287,109.9221574,423.6576777,263.4748917,863.0439998
Grant,2030,885.2489548,333.6616174,379.2944817,1410.331102,816.3452585,3385.549773
Harney,2030,1302.029479,436.7026407,572.691535,1696.997775,735.9073884,2363.425781
Hood River,2030,5281.195607,1761.310707,3121.453916,8925.482608,3826.343962,6097.855462
Jackson,2030,36111,12516,25214,73960,30425,72598.40253
Jefferson,2030,4571.775434,1494.505204,2429.684928,7252.452783,3773.9534,7412.4007
Josephine,2030,12882,4685,7993,25184,11640,29564.75649
Klamath,2030,10878.86035,3638.652428,7048.837846,21012.92759,9338.37828,19783.56436
Lake,2030,1073.897567,433.7713188,540.1368433,2338.711573,1242.222616,2955.229607
Lane,2030,58344.69508,26738.4016,59481.60638,115325.8953,46291.39748,107510.9049
Lincoln,2030,6536.909709,2737.062405,4480.110593,14365.07845,6838.508458,16951.64452
Linn,2030,24048,7791,13734,39311,14317,28188.92379
Malheur,2030,6419.849896,2054.462994,4022.995787,9329.437828,3241.700198,6840.178358
Marion,2030,80154,26472,49325,118069,41549,76717.46914
Morrow,2030,2842.69639,934.2178502,1376.11607,3521.803567,1531.342103,2997.821996
Multnomah,2030,149568.6035,50249.39881,145523.9281,343723.0134,111503.4221,180662.9285
Polk,2030,19133.2021,7522.49819,12515.45763,29991.43057,10306.02296,19032.86631
Sherman,2030,282.7513974,111.2245012,117.311682,463.8499569,178.792425,690.3064692
Tillamook,2030,4220.474919,1651.41005,2315.351599,7880.239669,3668.56302,8511.025507
Umatilla,2030,19000.49425,6222.394359,11895.95882,27590.12579,9483.615473,17121.1898
Union,2030,5009.075492,1934.440149,3876.515953,7330.001746,2965.430241,7962.902525
Wallowa,2030,907.1920398,363.2553756,443.4889602,1625.889521,786.6323865,2978.719893
Wasco,2030,5521.533694,1903.422018,3267.059425,8663.883133,3233.461772,7208.568908
Washington,2030,132369.1842,40887.51224,87317.7243,244372.7936,70250.40408,115757.4994
Wheeler,2030,190.0349211,91.62899973,69.72130224,332.5505772,158.9952274,540.0468457
Yamhill,2030,22938.94443,8774.896937,14994.38035,38933.74382,14190.16561,27571.9824
Baker,2035,2632.846842,955.3151389,1340.483391,4133.216869,1828.74432,5693.76961
Benton,2035,15058,10313,23539,35091,11635,24892.34148
Clackamas,2035,76663.31054,28430.40763,44411.81721,151717.6381,67334.08191,117457.7915
Clatsop,2035,6253.237603,2294.758733,4004.157516,11800.02477,5248.741291,10873.45763
Columbia,2035,10002.63319,3296.378663,5305.287881,20724.21827,7081.269456,14306.54295
Coos,2035,8986.070415,3391.092791,5678.011203,17440.11105,7577.316974,21258.5826
Crook,2035,3044.742441,1151.403655,1740.530668,5983.614294,3779.71346,8216.220584
Curry,2035,2701.019623,948.2698548,1500.875795,6986.842487,3941.911912,10340.55473
Deschutes,2035,39608.50949,15870.4062,28702.28999,75880.23752,29734.92716,59240.53204
Douglas,2035,18576.94285,6737.8412,11658.28775,38647.0743,18297.79323,38669.37495
Gilliam,2035,368.6846594,122.0426082,130.5457481,379.4960941,269.0364967,896.9397108
