Geo,Year,AutoMeanAge,LtTrkMeanAge
Klamath,2035,9.113280735,9.196007772
Lake,2035,9.18167498,9.280678851
Lane,2035,9.070900648,9.190338354
Lincoln,2035,9.131468644,9.227903725
Linn,2035,9.079405146,9.226514186
Malheur,2035,8.98657598,9.183523847
Marion,2035,9.096395369,9.14367925
Morrow,2035,9.148148148,9.125992731
Multnomah,2035,9.062714516,9.142528638
Polk,2035,9.09145595,9.166248656
Sherman,2035,9.163215591,8.78584392
Tillamook,2035,9.179396926,9.176443734
Umatilla,2035,9.103239669,9.113523017
Union,2035,9.098147221,9.152066743
Wallowa,2035,9.18765586,9.328301887
Wasco,2035,9.070940171,9.104883676
Washington,2035,9.092744874,9.15500141
Wheeler,2035,9.086633663,9.04770017
Yamhill,2035,9.113073949,9.187244926
Baker,2040,8.683486747,8.775651848
Benton,2040,8.706026135,8.760369231
Clackamas,2040,8.695371695,8.785367179
Clatsop,2040,8.676273866,8.833300876
Columbia,2040,8.680937127,8.670607596
Coos,2040,8.637895969,8.79334959
Crook,2040,8.716057418,8.882238929
Curry,2040,8.763142659,8.855506322
Deschutes,2040,8.701164653,8.785603835
Douglas,2040,8.676800224,8.779795179
Gilliam,2040,8.659914712,8.631393298
Grant,2040,8.596801347,8.805531168
Harney,2040,8.673551863,8.669971671
Hood River,2040,8.748147131,8.71551439
Jackson,2040,8.686596751,8.76527138
Jefferson,2040,8.725364837,8.772316341
Josephine,2040,8.688158783,8.824362521
Klamath,2040,8.689248146,8.809560347
Lake,2040,8.713459759,8.929193038
Lane,2040,8.667215354,8.782822416
Lincoln,2040,8.696783742,8.766584059
Linn,2040,8.719369833,8.752060193
Malheur,2040,8.662388784,8.797633763
Marion,2040,8.661236736,8.80552187
Morrow,2040,8.640837787,8.86855265
Multnomah,2040,8.668306275,8.77934362
Polk,2040,8.683127647,8.760807746
Sherman,2040,8.453302961,8.532110092
Tillamook,2040,8.619854354,8.906473029
Umatilla,2040,8.707180438,8.748747533
Union,2040,8.65678213,8.799958303
Wallowa,2040,8.541459127,8.90084482
Wasco,2040,8.542533722,8.761717039
Washington,2040,8.669323071,8.778708628
Wheeler,2040,8.375757576,8.793172691
Yamhill,2040,8.653100282,8.774097673
Baker,2045,8.386608644,8.320901639
Benton,2045,8.255978742,8.387137317
Clackamas,2045,8.26790967,8.352244808
Clatsop,2045,8.338311914,8.3513635
Columbia,2045,8.267402063,8.340024707
Coos,2045,8.260351078,8.429967594
Crook,2045,8.261816792,8.41212665
Curry,2045,8.247130954,8.254296331
Deschutes,2045,8.293061315,8.368240998
Douglas,2045,8.270126792,8.3459529
Gilliam,2045,8.432720232,8.370229008
Grant,2045,8.232308792,8.346019029
Harney,2045,8.29892051,8.2929374
Hood River,2045,8.31426739,8.33056025
Jackson,2045,8.303240993,8.360716934
Jefferson,2045,8.329813589,8.36350025
Josephine,2045,8.244574633,8.425034699
Klamath,2045,8.323144197,8.354879048
Lake,2045,8.140797995,8.462667785
Lane,2045,8.265085883,8.389936814
Lincoln,2045,8.354173625,8.334442374
Linn,2045,8.279324742,8.340054699
Malheur,2045,8.314783267,8.307501668
