Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Hood River,2025,0,8.069701565,0.2765625
Jackson,2025,46.97760652,3.863719281,0.409375
Jefferson,2025,0,7.745884514,0.3140625
Josephine,2025,18.14095054,2.777791276,0.23125
Klamath,2025,0,41.18836826,0.0875
Lake,2025,0,6.268910136,0.1
Lane,2025,77.31766843,31.12578774,0.25625
Lincoln,2025,0,31.31713624,0.1796875
Linn,2025,28.85894116,25.19728487,0.1609375
Malheur,2025,0,16.79367401,0.1234375
Marion,2025,62.25866663,25.81264896,0.309375
Morrow,2025,0,11.43844487,0.2015625
Multnomah,2025,156.7610355,0,0.221875
Polk,2025,8.2125,14.95370661,0.2390625
Sherman,2025,0,3.445913936,0.0046875
Tillamook,2025,0,11.48356119,0.0640625
Umatilla,2025,0,53.54428367,0.1609375
Union,2025,0,12.90554582,0.3265625
Wallowa,2025,0,4.247346189,0.0609375
Wasco,2025,0,12.47477435,0.340625
Washington,2025,118.7891753,2.912196476,0.50625
Wheeler,2025,0,1.625802965,0.0015625
Yamhill,2025,0,29.76575188,0.403125
Baker,2030,0,12.83862367,0.128125
Benton,2030,32.29348524,0.59355293,0.2625
Clackamas,2030,93.73805971,17.52335891,0.428125
Clatsop,2030,0,36.94215833,0.0953125
Columbia,2030,0,24.10017759,0.2265625
Coos,2030,0,35.08844921,0.221875
Crook,2030,0,16.12293691,0.0609375
Curry,2030,0,24.6649244,0.1234375
Deschutes,2030,35.20066674,24.80224372,0.25625
Douglas,2030,0,47.0190501,0.2828125
Gilliam,2030,0,5.506570564,0.003125
Grant,2030,0,12.18252056,0.01875
Harney,2030,0,7.059725191,0.2640625
Hood River,2030,0,8.317855474,0.2765625
Jackson,2030,47.35498785,3.963391838,0.409375
Jefferson,2030,0,7.948220096,0.3140625
Josephine,2030,18.27824126,2.845521605,0.23125
Klamath,2030,0,41.57965829,0.0875
Lake,2030,0,6.327656706,0.1
Lane,2030,77.88072301,31.85736516,0.25625
Lincoln,2030,0,31.72434815,0.1796875
Linn,2030,29.06282844,25.76944653,0.1609375
Malheur,2030,0,16.81623387,0.1234375
Marion,2030,62.76628072,26.48729108,0.309375
Morrow,2030,0,11.67167456,0.2015625
Multnomah,2030,158.612625,0,0.221875
Polk,2030,8.2125,15.53981534,0.2390625
Sherman,2030,0,3.453481948,0.0046875
Tillamook,2030,0,11.64066167,0.0640625
Umatilla,2030,0,54.6672188,0.1609375
Union,2030,0,13.04830858,0.3265625
Wallowa,2030,0,4.247158504,0.0609375
Wasco,2030,0,12.73594388,0.340625
Washington,2030,120.0504957,3.010623848,0.50625
Wheeler,2030,0,1.607997598,0.0015625
Yamhill,2030,0,30.83807905,0.403125
Baker,2035,0,12.82876914,0.128125
